,p_low,entropy_max,area_max,alpha,accuracy_conf,inconclusive_rate,precision_conf,recall_conf,f1_conf,counts_neg,counts_pos,counts_inc
0,0.18,2.2,,0.3,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
1,0.18,2.2,,0.4,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
2,0.18,2.2,,0.5,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
3,0.18,2.2,,0.6,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
4,0.18,2.2,,0.7,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
5,0.18,2.2,0.3,0.3,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
6,0.18,2.2,0.3,0.4,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
7,0.18,2.2,0.3,0.5,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
8,0.18,2.2,0.3,0.6,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
9,0.18,2.2,0.3,0.7,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
10,0.18,2.2,0.25,0.3,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
11,0.18,2.2,0.25,0.4,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
12,0.18,2.2,0.25,0.5,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
13,0.18,2.2,0.25,0.6,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
14,0.18,2.2,0.25,0.7,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
15,0.18,2.2,0.2,0.3,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
16,0.18,2.2,0.2,0.4,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
17,0.18,2.2,0.2,0.5,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
18,0.18,2.2,0.2,0.6,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
19,0.18,2.2,0.2,0.7,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
20,0.18,2.2,0.15,0.3,0.7527472527472527,0.636,0.46808510638297873,0.5238095238095238,0.4943820224719101,135,47,318
21,0.18,2.2,0.15,0.4,0.75,0.632,0.46938775510204084,0.5348837209302325,0.5,135,49,316
22,0.18,2.2,0.15,0.5,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
23,0.18,2.2,0.15,0.6,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
24,0.18,2.2,0.15,0.7,0.7513513513513513,0.63,0.48,0.5454545454545454,0.5106382978723404,135,50,315
25,0.18,2.6,,0.3,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
26,0.18,2.6,,0.4,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
27,0.18,2.6,,0.5,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
28,0.18,2.6,,0.6,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
29,0.18,2.6,,0.7,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
30,0.18,2.6,0.3,0.3,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
31,0.18,2.6,0.3,0.4,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
32,0.18,2.6,0.3,0.5,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
33,0.18,2.6,0.3,0.6,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
34,0.18,2.6,0.3,0.7,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
35,0.18,2.6,0.25,0.3,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
36,0.18,2.6,0.25,0.4,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
37,0.18,2.6,0.25,0.5,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
38,0.18,2.6,0.25,0.6,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
39,0.18,2.6,0.25,0.7,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
40,0.18,2.6,0.2,0.3,0.6944444444444444,0.568,0.43209876543209874,0.6363636363636364,0.5147058823529411,135,81,284
41,0.18,2.6,0.2,0.4,0.6923076923076923,0.558,0.4418604651162791,0.6551724137931034,0.5277777777777778,135,86,279
42,0.18,2.6,0.2,0.5,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
43,0.18,2.6,0.2,0.6,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
44,0.18,2.6,0.2,0.7,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
45,0.18,2.6,0.15,0.3,0.743455497382199,0.618,0.48214285714285715,0.574468085106383,0.5242718446601942,135,56,309
46,0.18,2.6,0.15,0.4,0.7014218009478673,0.578,0.4342105263157895,0.6226415094339622,0.5116279069767442,135,76,289
47,0.18,2.6,0.15,0.5,0.6909090909090909,0.56,0.43529411764705883,0.6491228070175439,0.5211267605633803,135,85,280
48,0.18,2.6,0.15,0.6,0.6936936936936937,0.556,0.4482758620689655,0.6610169491525424,0.5342465753424658,135,87,278
49,0.18,2.6,0.15,0.7,0.695067264573991,0.554,0.45454545454545453,0.6666666666666666,0.5405405405405406,135,88,277
50,0.18,3.0,,0.3,0.6870748299319728,0.412,0.5471698113207547,0.8130841121495327,0.6541353383458647,135,159,206
51,0.18,3.0,,0.4,0.6870748299319728,0.412,0.5471698113207547,0.8130841121495327,0.6541353383458647,135,159,206
52,0.18,3.0,,0.5,0.6870748299319728,0.412,0.5471698113207547,0.8130841121495327,0.6541353383458647,135,159,206
53,0.18,3.0,,0.6,0.6870748299319728,0.412,0.5471698113207547,0.8130841121495327,0.6541353383458647,135,159,206
54,0.18,3.0,,0.7,0.6870748299319728,0.412,0.5471698113207547,0.8130841121495327,0.6541353383458647,135,159,206
55,0.18,3.0,0.3,0.3,0.686411149825784,0.426,0.5394736842105263,0.803921568627451,0.6456692913385826,135,152,213
56,0.18,3.0,0.3,0.4,0.6870748299319728,0.412,0.5471698113207547,0.8130841121495327,0.6541353383458647,135,159,206
